Account,date,sentiment_bucket,daily_pnl,num_trades,avg_trade_size,total_fees,win_rate,longs,shorts,long_short_ratio,risk_bucket,activity_segment,consistency,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,Greed,-327505.900056,462,14810.891818181817,1112.89565,0.025974025974025976,139,323,0.42901234567901236,High Risk,Low Activity,Inconsistent,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,Fear,1927735.720035,3356,16345.241939809297,6292.416654,0.40554231227651966,1572,1784,0.880672268907563,High Risk,High Activity,Inconsistent,2
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,Greed,20607.446093000002,320,2492.74990625,202.16715108,0.53125,145,175,0.8238636363636364,Medium Risk,Low Activity,Consistent,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,Fear,17098.727055,3533,1693.3516841211435,1664.91466962,0.43504104160769885,1528,2005,0.7617148554336989,Low Risk,High Activity,Consistent,0
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,Neutral,-1.0,5,6070.2,10.197932,0.0,2,3,0.5,High Risk,Low Activity,Consistent,1
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,Greed,1793.1602149999999,5,31941.660000000003,34.662051,0.8,3,2,1.0,High Risk,Low Activity,Consistent,2
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,Fear,29970.928216,1136,10836.90096830986,3644.197056,0.43045774647887325,506,630,0.8019017432646592,High Risk,High Activity,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,Greed,121880.386016,6472,483.5901143386898,1079.2967933,0.4437577255871446,3086,3386,0.911130794213168,Low Risk,High Activity,Inconsistent,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,Fear,10435.095669,6794,533.2378127759788,1137.5274581509,0.4327347659699735,3606,3188,1.1307619943555973,Low Risk,High Activity,Inconsistent,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,Greed,52215.729448,763,2941.8256880733943,737.224469,0.4744429882044561,305,458,0.664488017429194,Medium Risk,High Activity,Consistent,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,Fear,116412.254606,2471,3205.000631323351,2370.023531,0.5337919870497774,872,1599,0.545,Medium Risk,High Activity,Consistent,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,Greed,0.0,3,159.0,0.0,0.0,3,0,3.0,Low Risk,Low Activity,Consistent,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,Greed,0.0,2,23066.935,11.072125999999999,0.0,2,0,2.0,High Risk,Low Activity,Consistent,2
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,Greed,-5564.01614,27,3048.5944444444444,3.90258,0.3333333333333333,4,23,0.16666666666666666,Medium Risk,Low Activity,Consistent,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,Neutral,215.754798,80,767.24775,37.383029,0.1,35,45,0.7608695652173914,Low Risk,Low Activity,Consistent,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,Greed,36993.371011,156,2583.170064102564,13.18020052,0.46794871794871795,64,92,0.6881720430107527,Medium Risk,Low Activity,Consistent,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,Fear,-59349.677108,349,1648.5575358166188,56.28775486,0.2636103151862464,66,283,0.2323943661971831,Low Risk,Low Activity,Consistent,1
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,Greed,34983.381862,144,4554.800138888889,139.65668575,0.5277777777777778,59,85,0.686046511627907,Medium Risk,Low Activity,Consistent,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,Fear,-20526.462526,3445,4800.430827285922,1319.00044032,0.3193033381712627,1589,1856,0.8556812062466344,High Risk,High Activity,Consistent,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,Greed,7612.618288,191,2786.4265445026176,111.57987806,0.41361256544502617,112,79,1.4,Medium Risk,Low Activity,Consistent,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,Fear,45883.628955,141,4338.219787234042,64.694297857,0.5602836879432624,58,83,0.6904761904761905,Medium Risk,Low Activity,Consistent,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,Greed,16102.56859,125,6480.62816,130.407593,0.216,18,107,0.16666666666666666,High Risk,Low Activity,Inconsistent,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,Fear,183403.024142,258,4563.756162790698,137.559495979,0.2441860465116279,83,175,0.4715909090909091,High Risk,Low Activity,Inconsistent,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,Greed,0.0,88,1136.3127272727272,253.10601,0.0,88,0,88.0,Low Risk,Low Activity,Inconsistent,1
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,Neutral,145563.448374,249,1759.9534939759035,31.790452000000002,0.9518072289156626,3,246,0.012145748987854251,Low Risk,Low Activity,Inconsistent,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,Greed,160450.518105,43,6742.71976744186,101.476704,0.8837209302325582,0,43,0.0,High Risk,Low Activity,Inconsistent,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,Fear,110527.905862,671,2807.6623994038746,303.392309,0.4828614008941878,211,460,0.45770065075921906,Medium Risk,Low Activity,Inconsistent,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,Greed,69282.42904,3711,494.23683912691996,623.1971965500001,0.3381837779574239,1738,1973,0.8804457953394124,Low Risk,High Activity,Consistent,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,Fear,32683.214094,4629,541.9522812702527,594.3893584661,0.36552171095268954,2270,2359,0.961864406779661,Low Risk,High Activity,Consistent,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,Greed,61076.167808,328,8444.161189024391,729.438968,0.4115853658536585,183,145,1.2534246575342465,High Risk,Low Activity,Inconsistent,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,Fear,613327.827224,3806,8998.349072517078,6908.11976519,0.4952706253284288,1797,2009,0.8940298507462686,High Risk,High Activity,Inconsistent,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,Greed,-7919.471032000002,730,6219.798493150685,1589.158168,0.30684931506849317,357,373,0.9545454545454546,High Risk,Low Activity,Inconsistent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,Neutral,-25991.506339,1309,10190.317929717341,4668.693244,0.3315508021390374,706,603,1.1688741721854305,High Risk,High Activity,Inconsistent,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,Greed,111230.498007,1703,19645.16682912507,10666.444512,0.3282442748091603,960,743,1.2903225806451613,High Risk,High Activity,Inconsistent,2
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,Fear,223968.37089299998,3737,20468.303636606903,23153.658382999998,0.39175809472839174,2107,1630,1.2918454935622317,High Risk,High Activity,Inconsistent,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,Greed,0.0,223,3261.5788789237668,12.38025211,0.0,223,0,223.0,Medium Risk,Low Activity,Inconsistent,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,Fear,403501.648209,5777,28304.44506318158,28156.73061558,0.4156136402977324,2646,3131,0.8448275862068966,High Risk,High Activity,Inconsistent,2
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,Greed,101539.274031,250,525.47136,36.926673,1.0,0,250,0.0,Low Risk,Low Activity,Consistent,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,Fear,6979.340871,572,891.0710664335664,120.6785519324,0.2692307692307692,346,226,1.524229074889868,Low Risk,Low Activity,Consistent,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,Greed,327545.999992,202,16311.138465346536,329.484916,0.5148514851485149,104,98,1.0505050505050506,High Risk,Low Activity,Inconsistent,2
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,Fear,98269.195073,932,8098.078723175966,1129.21995629,0.43991416309012876,299,633,0.471608832807571,High Risk,High Activity,Inconsistent,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,Greed,51737.579418,419,2305.200429594272,92.724032,0.028639618138424822,11,408,0.02689486552567237,Medium Risk,Low Activity,Inconsistent,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,Fear,341945.434741,939,2123.4002662406815,188.51338816,0.3961661341853035,574,365,1.5683060109289617,Low Risk,High Activity,Inconsistent,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,Greed,187842.08419,3041,3677.8091055573827,405.408361,0.8240710292666886,1409,1632,0.8628291488058788,Medium Risk,High Activity,Inconsistent,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,Neutral,0.16271999999999998,6,34.916666666666664,0.047003,0.16666666666666666,3,3,0.75,Low Risk,Low Activity,Inconsistent,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,Greed,37526.331877,1016,2056.391348425197,292.90635568,0.8208661417322834,545,471,1.1546610169491525,Low Risk,High Activity,Inconsistent,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,Fear,136208.043913,4885,2330.3033080859777,1739.321652,0.7985670419651996,2321,2564,0.9048732943469786,Medium Risk,High Activity,Inconsistent,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,Fear,14781.443047,1554,3643.361287001287,771.08185496,0.4510939510939511,687,867,0.7914746543778802,Medium Risk,High Activity,Inconsistent,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,Greed,0.0,15,2333.2533333333336,0.12958992,0.0,15,0,15.0,Medium Risk,Low Activity,Inconsistent,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,Fear,196303.792847,3056,2249.731112565445,884.188615,0.28763089005235604,979,2077,0.47112608277189605,Medium Risk,High Activity,Inconsistent,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,Greed,11.717676000000012,54,933.2848148148149,4.40687281,0.037037037037037035,47,7,5.875,Low Risk,Low Activity,Consistent,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,Fear,64510.169958,1802,6453.556398446171,3297.2099173300003,0.3401775804661487,1071,731,1.4631147540983607,High Risk,High Activity,Consistent,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,Neutral,-9125.157325,3810,772.3728871391077,903.689727,0.32545931758530183,1706,2104,0.8104513064133017,Low Risk,High Activity,Consistent,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,Greed,39978.37791,1804,1376.8141407982262,810.39821607,0.32427937915742794,625,1179,0.5296610169491526,Low Risk,High Activity,Consistent,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,Fear,46257.358187,5602,658.3625776508391,1182.5227054,0.30739021777936454,2453,3149,0.7787301587301587,Low Risk,High Activity,Consistent,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,Greed,8695.357326,724,2936.1985911602205,157.16795172,0.07596685082872928,642,82,7.734939759036145,Medium Risk,Low Activity,Consistent,1
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,Fear,100502.420808,2080,3430.149134615385,2058.64770854,0.3903846153846154,1218,862,1.4113557358053301,Medium Risk,High Activity,Consistent,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,Greed,49180.714882,4211,1636.15022559962,481.711535,0.418665400142484,2398,1813,1.3219404630650495,Low Risk,High Activity,Consistent,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,Fear,40314.808014,9274,1157.8793541082598,1635.555628,0.32003450506793185,6130,3144,1.9491255961844196,Low Risk,High Activity,Consistent,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,Neutral,-14505.50575,39,7877.326666666667,138.24399527,0.0,31,8,3.4444444444444446,High Risk,Low Activity,Consistent,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,Greed,67900.247545,283,1684.2025795053005,29.20086424,0.5477031802120141,125,158,0.7861635220125787,Low Risk,Low Activity,Consistent,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,Fear,19451.742477,95,820.6771578947369,22.493145000000002,0.8842105263157894,0,95,0.0,Low Risk,Low Activity,Consistent,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,Greed,20925.513222,190,3387.3391578947367,201.36228461,0.5526315789473685,84,106,0.7850467289719626,Medium Risk,Low Activity,Consistent,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,Fear,8751.751449,182,3072.9576923076925,187.917346,0.2692307692307692,133,49,2.66,Medium Risk,Low Activity,Consistent,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,Greed,55.01524,9,1862.9299999999998,3.659253,0.2222222222222222,7,2,2.3333333333333335,Low Risk,Low Activity,Consistent,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,Fear,21703.816512999998,525,8441.060742857142,538.0863564464,0.3238095238095238,297,228,1.296943231441048,High Risk,Low Activity,Consistent,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,Greed,155.50335699999994,1043,11034.799511025887,2783.498528,0.2751677852348993,489,554,0.8810810810810811,High Risk,High Activity,Inconsistent,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,Greed,2606.8947559999997,3076,7639.724411573472,4561.206114,0.21879063719115735,1513,1563,0.967391304347826,High Risk,High Activity,Inconsistent,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,Neutral,62586.1816,1643,2875.2178940961658,2953.83210411,0.20998174071819842,1019,624,1.6304,Medium Risk,High Activity,Inconsistent,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,Greed,1421755.845871,1268,2166.171861198738,812.141368,0.5670347003154574,148,1120,0.1320249776984835,Medium Risk,High Activity,Inconsistent,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,Fear,553818.000465,7380,1818.587241192412,4707.64902071,0.3910569105691057,3477,3903,0.890625,Low Risk,High Activity,Inconsistent,0
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,Fear,22488.500821,4838,22504.555828854896,28643.173715,0.4386109962794543,2368,2470,0.9583164710643464,High Risk,High Activity,Inconsistent,2
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,Fear,940157.212682,21190,3210.7751864086836,8596.700755219,0.46753185464841907,11195,9995,1.1199479791916767,Medium Risk,High Activity,Inconsistent,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,Greed,11671.68,267,2725.7805992509366,81.227387,0.15355805243445692,49,218,0.2237442922374429,Medium Risk,Low Activity,Inconsistent,1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,Fear,325441.97721599997,2211,8103.972912709181,3999.85393243,0.3722297602894618,1054,1157,0.9101899827288429,High Risk,High Activity,Inconsistent,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,Greed,684215.002602,9883,2693.2837964180917,2512.00733119,0.5692603460487706,3092,6791,0.4552414605418139,Medium Risk,High Activity,Inconsistent,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,Fear,126967.976166,26651,1554.8373344339798,9512.31758037,0.3848636073693295,12568,14083,0.8923601249644987,Low Risk,High Activity,Inconsistent,0
